forecast_origin_date,forecast_date,store_id,product_id,forecast_units_sold,lower_bound,upper_bound,actual_units_sold,forecast_error,status,model_version,calculated_at
2023-12-28,2023-12-29,S001,P0001,63.4,61.44,65.36,78.0,14.606474603755814,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-28,2023-12-30,S001,P0001,65.5,63.54,67.46,79.0,13.534651095883248,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-28,2023-12-31,S001,P0001,63.7,61.74,65.66,53.0,-10.7027527854789,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-28,2024-01-01,S001,P0001,60.8,58.839999999999996,62.76,43.0,-17.754150755871734,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-28,2024-01-02,S001,P0001,60.6,58.64,62.56,66.0,5.431385677669084,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-28,2024-01-03,S001,P0001,59.8,57.839999999999996,61.76,25.0,-34.8264685881676,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-28,2024-01-04,S001,P0001,67.6,65.64,69.55999999999999,57.0,-10.557153319035407,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-29,2023-12-30,S001,P0001,66.4,54.48260070367513,78.31739929632488,79.0,12.577182436438335,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-29,2023-12-31,S001,P0001,64.6,52.68260070367512,76.51739929632487,53.0,-11.625964416708513,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-29,2024-01-01,S001,P0001,62.3,50.382600703675124,74.21739929632487,43.0,-19.301603659498397,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-29,2024-01-02,S001,P0001,62.1,50.18260070367513,74.01739929632487,66.0,3.887538777012466,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-29,2024-01-03,S001,P0001,61.4,49.482600703675125,73.31739929632488,25.0,-36.35589147694411,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-29,2024-01-04,S001,P0001,69.2,57.28260070367513,81.11739929632488,57.0,-12.236826331563165,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-29,2024-01-05,S001,P0001,61.5,49.582600703675126,73.41739929632487,46.0,-15.481986434617994,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-30,2023-12-31,S001,P0001,64.0,40.85185347243792,87.14814652756209,53.0,-10.964106940929398,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-30,2024-01-01,S001,P0001,62.1,38.95185347243792,85.24814652756208,43.0,-19.13706585536589,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-30,2024-01-02,S001,P0001,61.9,38.751853472437915,85.04814652756208,66.0,4.0501938506273305,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-30,2024-01-03,S001,P0001,61.2,38.05185347243792,84.34814652756208,25.0,-36.200767325399816,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-30,2024-01-04,S001,P0001,69.0,45.85185347243792,92.14814652756209,57.0,-12.00325507511711,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-30,2024-01-05,S001,P0001,61.3,38.151853472437914,84.44814652756207,46.0,-15.325607129395287,ready,ensemble_v2,2026-07-13T07:06:18.309502
2023-12-30,2024-01-06,S001,P0001,62.7,39.55185347243792,85.84814652756208,45.0,-17.667635022346673,ready,ensemble_v2,2026-07-13T07:06:18.309502
